instrument_key,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,option_type,exchange,INECODE
NSE_EQ|INE869I01013,21195,GTPL,GTPL HATHWAY LIMITED,122.79,,,0.01,1,EQUITY,,NSE_EQ,INE869I01013
NSE_EQ|INE399C01030,11689,SUPRAJIT,SUPRAJIT ENGINEERING LTD,454.65,,,0.05,1,EQUITY,,NSE_EQ,INE399C01030
NSE_EQ|INE0LLY01014,27213,EIEL,ENVIRO INFRA ENGINEERS L,245.8,,,0.05,1,EQUITY,,NSE_EQ,INE0LLY01014
NSE_EQ|INE176A01028,371,BATAINDIA,BATA INDIA LTD,1186.2,,,0.1,1,EQUITY,,NSE_EQ,INE176A01028
NSE_EQ|INE585B01010,10999,MARUTI,MARUTI SUZUKI INDIA LTD.,12302,,,1,1,EQUITY,,NSE_EQ,INE585B01010
NSE_EQ|INE319B01014,7930,BYKE,THE BYKE HOSPITALITY LTD,75.78,,,0.01,1,EQUITY,,NSE_EQ,INE319B01014
NSE_EQ|INE139A01034,6364,NATIONALUM,NATIONAL ALUMINIUM CO LTD,180.7,,,0.01,1,EQUITY,,NSE_EQ,INE139A01034
NSE_EQ|INE064C01022,9685,TRIDENT,TRIDENT LIMITED,28.9,,,0.01,1,EQUITY,,NSE_EQ,INE064C01022
NSE_EQ|INE912H01013,18029,MBLINFRA,MBL INFRASTRUCTURE LTD,40.7,,,0.01,1,EQUITY,,NSE_EQ,INE912H01013
NSE_EQ|INE763I01026,15174,TARIL,TRANS & RECTI. LTD,515.05,,,0.05,1,EQUITY,,NSE_EQ,INE763I01026
NSE_EQ|INE875G01048,31258,NDL,NANDAN DENIM LIMITED,3.56,,,0.01,1,EQUITY,,NSE_EQ,INE875G01048
NSE_EQ|INE919I01024,19877,RADIOCITY,MUSIC BROADCAST LIMITED,8.67,,,0.01,1,EQUITY,,NSE_EQ,INE919I01024
NSE_EQ|INE314T01025,14480,GOKULAGRO,GOKUL AGRO RESOURCES LTD,304.45,,,0.05,1,EQUITY,,NSE_EQ,INE314T01025
NSE_EQ|INE285K01026,6445,TECHNOE,TECHNO ELEC & ENG CO. LTD,1419,,,0.1,1,EQUITY,,NSE_EQ,INE285K01026
